Time,accX,accY,accZ,wx,wy,wz
1.440004,-335.0,164.0,8367.0,3.0,10.0,-23.0
1.4500039999999998,-345.0,211.0,8307.0,1.0,-3.0,-25.0
1.4600079999999998,-335.0,198.0,8268.0,5.0,3.0,-24.0
1.4699999999999998,-323.0,181.0,8212.0,2.0,25.0,-20.0
1.480004,-338.0,208.0,8215.0,4.0,35.0,-24.0
1.4900119999999997,-358.0,175.0,8246.0,-3.0,48.0,-22.0
1.5000079999999998,-341.0,181.0,8302.0,0.0,52.0,-23.0
1.5099999999999998,-363.0,196.0,8341.0,6.0,53.0,-22.0
1.5200039999999997,-352.0,189.0,8398.0,0.0,38.0,-27.0
1.530008,-360.0,185.0,8414.0,0.0,23.0,-22.0
1.5400079999999998,-355.0,204.0,8379.0,1.0,2.0,-23.0
1.550008,-346.0,199.0,8325.0,4.0,2.0,-20.0
1.5600039999999997,-342.0,205.0,8277.0,1.0,2.0,-25.0
1.5699999999999998,-300.0,201.0,8237.0,3.0,22.0,-20.0
1.5800079999999999,-315.0,195.0,8202.0,8.0,27.0,-20.0
1.590008,-313.0,196.0,8232.0,6.0,41.0,-26.0
1.599996,-311.0,186.0,8275.0,0.0,51.0,-27.0
1.6099999999999999,-342.0,179.0,8330.0,1.0,55.0,-24.0
1.6200039999999998,-365.0,187.0,8387.0,1.0,39.0,-21.0
1.6300079999999997,-355.0,194.0,8414.0,0.0,28.0,-24.0
1.6399999999999997,-382.0,188.0,8407.0,3.0,19.0,-21.0
1.65,-364.0,183.0,8351.0,-2.0,4.0,-22.0
1.660008,-348.0,191.0,8297.0,3.0,4.0,-25.0
1.6700079999999997,-355.0,171.0,8254.0,9.0,10.0,-18.0
1.6799999999999997,-349.0,183.0,8218.0,-1.0,21.0,-21.0
1.69,-331.0,193.0,8218.0,-1.0,35.0,-21.0
1.700008,-328.0,185.0,8245.0,-2.0,51.0,-26.0
1.7100079999999998,-347.0,204.0,8313.0,5.0,56.0,-21.0
1.720008,-313.0,225.0,8079.0,-60.0,-91.0,-18.0
1.7299959999999999,-265.0,209.0,7924.0,-4.0,104.0,-23.0
1.7399999999999998,-306.0,108.0,8013.0,-15.0,126.0,-22.0
1.7500079999999998,-297.0,254.0,8209.0,-12.0,154.0,-19.0
1.760008,-361.0,241.0,8549.0,13.0,190.0,-17.0
1.77,-434.0,140.0,8917.0,11.0,147.0,-13.0
1.7799999999999998,-455.0,246.0,9118.0,15.0,8.0,-15.0
1.790012,-462.0,199.0,9041.0,20.0,-123.0,-20.0
1.800008,-410.0,157.0,8546.0,10.0,-208.0,-19.0
1.809996,-339.0,187.0,8041.0,10.0,-213.0,-23.0
1.8199999999999998,-251.0,206.0,7593.0,0.0,-142.0,-19.0
1.8300039999999997,-210.0,151.0,7389.0,1.0,27.0,-21.0
1.840004,-240.0,195.0,7442.0,-4.0,175.0,-23.0
1.85,-278.0,185.0,7934.0,-7.0,278.0,-19.0
1.8599999999999999,-356.0,180.0,8519.0,-3.0,295.0,-16.0
1.870008,-427.0,192.0,9007.0,-4.0,212.0,-20.0
1.880004,-474.0,208.0,9223.0,-6.0,39.0,-17.0
1.890008,-457.0,193.0,9136.0,-3.0,-100.0,-22.0
1.9,-412.0,204.0,8734.0,2.0,-184.0,-20.0
1.9099999999999997,-361.0,176.0,8327.0,1.0,-192.0,-26.0
1.9200079999999997,-308.0,156.0,7962.0,13.0,-154.0,-27.0
1.930008,-263.0,198.0,7713.0,33.0,-22.0,-27.0
1.94,-250.0,164.0,7708.0,45.0,94.0,-27.0
1.9500039999999998,-288.0,200.0,7948.0,37.0,154.0,-22.0
1.960016,-357.0,-436.0,8324.0,35.0,412.0,2.0
1.970008,-409.0,311.0,8534.0,15.0,173.0,-14.0
1.98,-402.0,420.0,8537.0,-14.0,37.0,-25.0
1.9899999999999998,-398.0,218.0,8546.0,2.0,-22.0,-26.0
2.000008,-377.0,152.0,8392.0,-2.0,-25.0,-20.0
2.010008,-340.0,234.0,8138.0,-8.0,-36.0,-23.0
2.02,-328.0,252.0,7956.0,-13.0,-5.0,-17.0
2.03,-288.0,162.0,7849.0,-24.0,44.0,-24.0
2.0400039999999997,-290.0,224.0,7816.0,-36.0,116.0,-25.0
2.050008,-287.0,227.0,7866.0,-52.0,162.0,-24.0
2.0600039999999997,-333.0,165.0,8055.0,-57.0,193.0,-23.0
2.070004,-353.0,179.0,8257.0,-61.0,208.0,-24.0
2.0800039999999997,-386.0,184.0,8512.0,-50.0,230.0,-28.0
2.090004,-453.0,213.0,8881.0,-27.0,219.0,-28.0
2.100008,-487.0,183.0,9227.0,-13.0,130.0,-34.0
2.11,-521.0,201.0,9303.0,-14.0,-38.0,-33.0
2.1200039999999998,-485.0,186.0,8969.0,-6.0,-177.0,-31.0
2.130012,-379.0,145.0,8324.0,-7.0,-253.0,-29.0
2.140008,-291.0,193.0,7669.0,-1.0,-193.0,-26.0
2.150004,-206.0,177.0,7262.0,-4.0,-36.0,-16.0
2.160004,-223.0,155.0,7263.0,-10.0,138.0,-16.0
2.170004,-260.0,160.0,7613.0,-14.0,252.0,-9.0
2.180008,-322.0,173.0,8093.0,-20.0,306.0,-5.0
2.1900079999999997,-403.0,179.0,8532.0,-24.0,271.0,4.0
2.1999999999999997,-456.0,138.0,8866.0,-30.0,181.0,14.0
2.21,-477.0,55.0,8966.0,-30.0,143.0,23.0
2.220004,-448.0,100.0,8777.0,-28.0,94.0,30.0
2.2300079999999998,-423.0,253.0,8477.0,-25.0,62.0,35.0
2.2399999999999998,-354.0,262.0,8037.0,-35.0,-3.0,34.0
2.249996,-322.0,232.0,7726.0,-39.0,28.0,27.0
2.260008,-283.0,272.0,7637.0,-40.0,120.0,21.0
2.270008,-326.0,239.0,7872.0,-56.0,194.0,2.0
2.280004,-376.0,181.0,8268.0,-62.0,247.0,-11.0
2.2900039999999997,-444.0,189.0,8658.0,-68.0,224.0,-10.0
2.300008,-490.0,171.0,8849.0,-63.0,125.0,-14.0
2.310008,-465.0,134.0,8818.0,-62.0,29.0,-14.0
2.3199959999999997,-430.0,178.0,8369.0,-59.0,-17.0,-14.0
2.3299999999999996,-351.0,145.0,8001.0,-53.0,6.0,-16.0
2.3400079999999996,-310.0,158.0,7732.0,-57.0,74.0,-12.0
2.350008,-337.0,166.0,7759.0,-58.0,201.0,-13.0
2.3600079999999997,-366.0,94.0,7926.0,-45.0,288.0,-10.0
2.3699999999999997,-414.0,212.0,8195.0,-49.0,320.0,-5.0
2.38,-431.0,178.0,8546.0,-42.0,338.0,-10.0
2.390008,-496.0,126.0,8881.0,-30.0,288.0,-4.0
2.400004,-533.0,144.0,9029.0,-15.0,168.0,-1.0
2.4099999999999997,-514.0,172.0,8897.0,-10.0,70.0,2.0
2.42,-456.0,178.0,8346.0,-19.0,16.0,2.0
2.430008,-389.0,203.0,7773.0,-44.0,51.0,1.0
2.440004,-329.0,136.0,7380.0,-34.0,182.0,-4.0
2.4499999999999997,-340.0,170.0,7373.0,-54.0,367.0,-11.0
2.46,-396.0,183.0,7774.0,-62.0,487.0,-8.0
2.470004,-494.0,138.0,8557.0,-62.0,511.0,-12.0
2.4800039999999997,-574.0,145.0,9045.0,-58.0,433.0,-11.0
2.4899999999999998,-602.0,127.0,9184.0,-54.0,302.0,-10.0
2.5,-589.0,167.0,9092.0,-44.0,144.0,-13.0
2.510004,-555.0,164.0,8815.0,-46.0,49.0,-13.0
2.520008,-481.0,112.0,8202.0,-45.0,21.0,-16.0
2.530008,-428.0,151.0,7712.0,-47.0,81.0,-13.0
2.54,-366.0,141.0,7311.0,-46.0,211.0,-12.0
2.55,-379.0,89.0,7300.0,-49.0,418.0,-10.0
2.560008,-454.0,173.0,7697.0,-43.0,533.0,-6.0
2.5700079999999996,-564.0,131.0,8506.0,-27.0,559.0,-9.0
2.5800039999999997,-667.0,107.0,9482.0,-26.0,433.0,0.0
2.59,-752.0,158.0,9831.0,-21.0,221.0,-14.0
2.600016,-726.0,150.0,9652.0,-24.0,-69.0,-11.0
2.6100079999999997,-652.0,120.0,9161.0,-6.0,-222.0,-15.0
2.6200039999999998,-562.0,152.0,8564.0,5.0,-286.0,-10.0
2.63,-488.0,165.0,7825.0,-2.0,-271.0,-14.0
2.640008,-429.0,106.0,7406.0,-5.0,-156.0,-12.0
2.6500079999999997,-427.0,142.0,7444.0,4.0,-13.0,-8.0
2.660004,-441.0,165.0,7522.0,-28.0,140.0,-10.0
2.67,-472.0,125.0,7788.0,-23.0,232.0,-6.0
2.6800040000000003,-517.0,148.0,8455.0,-16.0,262.0,-4.0
2.6900079999999997,-615.0,175.0,8990.0,-16.0,198.0,-4.0
